*** Path of Agent ***
(1, 1)
(1, 2)
(2, 2)
(2, 3)
(3, 3)
(2, 3)
(2, 4)
(2, 3)
(1, 3)
(1, 4)
(1, 5)
(2, 5)
(2, 6)
(3, 6)
(4, 6)
(4, 5)
(4, 4)
(4, 5)
(3, 5)
(4, 5)
(5, 5)
(6, 5)
(5, 5)
(5, 4)
(6, 4)
(5, 4)
(5, 3)
(5, 4)
(5, 5)
(5, 6)
(5, 7)
(4, 7)
(3, 7)
(3, 8)
(3, 9)
(3, 8)
(2, 8)
(2, 9)
(2, 10)
(1, 10)
(1, 9)
(1, 8)
(1, 9)
(2, 9)
(2, 10)
(3, 10)
(2, 10)
(2, 11)
(2, 10)
(1, 10)
(1, 11)
(1, 12)
(1, 11)
(1, 10)
(1, 9)
(2, 9)
(2, 10)
(2, 11)
(2, 10)
(2, 9)
(2, 8)
(2, 7)
(2, 8)
(1, 8)
(2, 8)
(3, 8)
(4, 8)
(3, 8)
(3, 9)
(3, 8)
(2, 8)
(2, 7)
(2, 8)
(3, 8)
(3, 9)
(3, 8)
(4, 8)
(3, 8)
(3, 7)
(2, 7)
(3, 7)
(4, 7)
(4, 8)
(4, 7)
(4, 6)
(5, 6)
(6, 6)
(5, 6)
(5, 7)
(5, 8)
(6, 8)
(7, 8)
(6, 8)
(6, 9)
(7, 9)
(8, 9)
(9, 9)
(8, 9)
(8, 8)
(8, 9)
(8, 10)
(7, 10)
(8, 10)
(9, 10)
(9, 11)
(9, 10)
(10, 10)
(10, 9)
(11, 9)
(11, 10)
(12, 10)
(12, 9)
(12, 8)
(12, 9)
(13, 9)
(13, 8)
(14, 8)
(14, 9)
(14, 8)
(15, 8)
(14, 8)
(14, 7)
(15, 7)
(14, 7)
(13, 7)
(14, 7)
(14, 6)
(14, 5)
(14, 6)
(13, 6)
(14, 6)
(15, 6)
(15, 5)
(15, 6)
(16, 6)
(15, 6)
(15, 7)
(15, 6)
(16, 6)
(15, 6)
(15, 7)
(15, 6)
(14, 6)
(13, 6)
(14, 6)
(14, 7)
(13, 7)
(14, 7)
(14, 8)
(15, 8)
(14, 8)
(13, 8)
(13, 7)
(13, 8)
(14, 8)
(14, 7)
(14, 6)
(13, 6)
(14, 6)
(15, 6)
(16, 6)
(15, 6)
(14, 6)
(14, 7)
(15, 7)
(14, 7)
(14, 6)
(13, 6)
(14, 6)
(14, 5)
(14, 6)
(14, 7)
(14, 8)
(15, 8)
(14, 8)
(14, 7)
(14, 6)
(13, 6)
(14, 6)
(14, 5)
(14, 6)
(13, 6)
(14, 6)
(15, 6)
(15, 5)
(15, 6)
(16, 6)
(15, 6)
(15, 7)
(15, 6)
(14, 6)
(13, 6)
(14, 6)
(14, 5)
(14, 6)
(14, 7)
(15, 7)
(14, 7)
(14, 8)
(15, 8)
(14, 8)
(13, 8)
(13, 7)
(13, 8)
(12, 8)
(13, 8)
(14, 8)
(15, 8)
(14, 8)
(14, 9)
(14, 8)
(13, 8)
(12, 8)
(13, 8)
(13, 9)
(13, 10)
(13, 11)
(13, 12)
(13, 11)
(12, 11)
(12, 12)
(12, 11)
(11, 11)
(12, 11)
(13, 11)
(14, 11)
(14, 10)
(15, 10)
(14, 10)
(14, 9)
(14, 10)
(15, 10)
(14, 10)
(14, 9)
(14, 10)
(13, 10)
(12, 10)
(12, 9)
(13, 9)
(13, 8)
(12, 8)
(13, 8)
(13, 7)
(13, 8)
(14, 8)
(14, 7)
(13, 7)
(14, 7)
(14, 8)
(13, 8)
(13, 9)
(14, 9)
(13, 9)
(13, 8)
(13, 7)
(13, 8)
(12, 8)
(13, 8)
(13, 9)
(12, 9)
(12, 10)
(12, 11)
(13, 11)
(13, 12)
(13, 11)
(14, 11)
(14, 12)
(14, 11)
(15, 11)
(16, 11)
(16, 10)
(16, 11)
(17, 11)
(16, 11)
(16, 12)
(16, 13)
(16, 14)
(15, 14)
(15, 15)
(15, 16)
SUCCESS : The Agent Grabbed the GOLD!!!!!
